metric_group,strategy,metric,source_value,audit_value,abs_diff,status
aggregate,__SHARED_ROUND0__,map50,0.581204,0.581204,0.0,pass
aggregate,__SHARED_ROUND0__,map5095,0.306094,0.306094,0.0,pass
aggregate,__SHARED_ROUND0__,precision,0.566488,0.566488,0.0,pass
aggregate,__SHARED_ROUND0__,recall,0.599504,0.599504,0.0,pass
aggregate,GTFreeRandom,map50,0.641054,0.641054,0.0,pass
aggregate,GTFreeRandom,map5095,0.3297,0.3297,0.0,pass
aggregate,GTFreeRandom,precision,0.620629,0.620629,0.0,pass
aggregate,GTFreeRandom,recall,0.610587,0.610587,0.0,pass
aggregate,DetectorInstanceRichDINOBalanced,map50,0.623766,0.623766,0.0,pass
aggregate,DetectorInstanceRichDINOBalanced,map5095,0.317276,0.317276,0.0,pass
aggregate,DetectorInstanceRichDINOBalanced,precision,0.661013,0.661013,0.0,pass
aggregate,DetectorInstanceRichDINOBalanced,recall,0.579154,0.579154,0.0,pass
aggregate,DetectorUncertaintyDINOInstanceReducedV10b,map50,0.647079,0.647079,0.0,pass
aggregate,DetectorUncertaintyDINOInstanceReducedV10b,map5095,0.340866,0.340866,0.0,pass
aggregate,DetectorUncertaintyDINOInstanceReducedV10b,precision,0.64134,0.64134,0.0,pass
aggregate,DetectorUncertaintyDINOInstanceReducedV10b,recall,0.621586,0.621586,0.0,pass
per_class,V10b-Random,neu6_count,6.0,6.0,0.0,pass
