acquisition_seed,training_seed,strategy,round,labeled_budget,development_eval_size,yaml_path,map50,map5095,precision,recall,train_status,train_run_dir,error,actual_trained_epochs,final_epoch,best_epoch_map50,best_results_map50,last_results_map50,best_epoch_map5095,best_results_map5095,last_results_map5095,retry_count
42,1042,GTFreeDatasetBalancedConsistency,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\__SHARED_ROUND0__\round_0\data.yaml,0.160326,0.061188,0.387713,0.273736,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42___SHARED_ROUND0___R0_trainseed1042,,100,100,98,0.1616,0.1616,98,0.06169,0.06169,0
42,1042,GTFreeDatasetBalancedConsistency,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedConsistency\round_1\data.yaml,0.206922,0.080699,0.400485,0.339306,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedConsistency_R1_trainseed1042,,100,100,68,0.23099,0.20804,92,0.08062,0.07756,0
42,1042,GTFreeDatasetBalancedConsistency,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedConsistency\round_2\data.yaml,0.25998,0.107194,0.430823,0.279525,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedConsistency_R2_trainseed1042,,100,100,93,0.26651,0.24716,95,0.10691,0.10669,0
42,1042,GTFreeDatasetBalancedConsistency,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedConsistency\round_3\data.yaml,0.348696,0.152585,0.47731,0.322627,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedConsistency_R3_trainseed1042,,100,100,85,0.35157,0.3266,83,0.1526,0.13779,0
42,1042,GTFreeDatasetBalancedConsistency,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedConsistency\round_4\data.yaml,0.304568,0.13591,0.291975,0.352788,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedConsistency_R4_trainseed1042,,100,100,73,0.33049,0.30698,57,0.13641,0.12558,0
42,1042,GTFreeDatasetBalancedVisualDiversity,0,15,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\__SHARED_ROUND0__\round_0\data.yaml,0.160326,0.061188,0.387713,0.273736,shared_baseline,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42___SHARED_ROUND0___R0_trainseed1042,,100,100,98,0.1616,0.1616,98,0.06169,0.06169,0
42,1042,GTFreeDatasetBalancedVisualDiversity,1,20,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedVisualDiversity\round_1\data.yaml,0.282367,0.115095,0.371681,0.416797,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedVisualDiversity_R1_trainseed1042,,100,100,100,0.28206,0.28206,100,0.11506,0.11506,0
42,1042,GTFreeDatasetBalancedVisualDiversity,2,25,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedVisualDiversity\round_2\data.yaml,0.307711,0.130312,0.379001,0.291757,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedVisualDiversity_R2_trainseed1042,,100,100,99,0.30705,0.30705,99,0.13035,0.13035,0
42,1042,GTFreeDatasetBalancedVisualDiversity,3,30,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedVisualDiversity\round_3\data.yaml,0.342236,0.14762,0.343332,0.451252,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedVisualDiversity_R3_trainseed1042,,100,100,99,0.34358,0.34358,99,0.15085,0.15085,0
42,1042,GTFreeDatasetBalancedVisualDiversity,4,35,180,C:\Users\user\Desktop\vlm\Defect_VLM_Project\datasets\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\seed_42\GTFreeDatasetBalancedVisualDiversity\round_4\data.yaml,0.355459,0.16407,0.414426,0.387921,success,C:\Users\user\Desktop\vlm\Defect_VLM_Project\runs\active_learning_ablation_v7_full_curve\v7_full_curve_20260711_211848\yolo_train_runs\seed42_GTFreeDatasetBalancedVisualDiversity_R4_trainseed1042,,100,100,92,0.35348,0.34801,92,0.16635,0.16368,0
