acquisition_seed,strategy,metric,random_round4_target,budget_to_reach_target,reached,uses_cumulative_max_envelope
42,GTFreeDatasetBalancedConsistency,map50,0.337541,30.0,True,True
42,GTFreeDatasetBalancedVisualDiversity,map50,0.337541,30.0,True,True
42,GTFreeRandom,map50,0.337541,25.0,True,True
42,GTFreeDatasetBalancedConsistency,map5095,0.141215,30.0,True,True
42,GTFreeDatasetBalancedVisualDiversity,map5095,0.141215,30.0,True,True
42,GTFreeRandom,map5095,0.141215,25.0,True,True
43,GTFreeDatasetBalancedConsistency,map50,0.391134,,False,True
43,GTFreeDatasetBalancedVisualDiversity,map50,0.391134,35.0,True,True
43,GTFreeRandom,map50,0.391134,35.0,True,True
43,GTFreeDatasetBalancedConsistency,map5095,0.170621,,False,True
43,GTFreeDatasetBalancedVisualDiversity,map5095,0.170621,30.0,True,True
43,GTFreeRandom,map5095,0.170621,35.0,True,True
44,GTFreeDatasetBalancedConsistency,map50,0.384979,,False,True
44,GTFreeDatasetBalancedVisualDiversity,map50,0.384979,,False,True
44,GTFreeRandom,map50,0.384979,35.0,True,True
44,GTFreeDatasetBalancedConsistency,map5095,0.178507,,False,True
44,GTFreeDatasetBalancedVisualDiversity,map5095,0.178507,,False,True
44,GTFreeRandom,map5095,0.178507,35.0,True,True
45,GTFreeDatasetBalancedConsistency,map50,0.386166,,False,True
45,GTFreeDatasetBalancedVisualDiversity,map50,0.386166,,False,True
45,GTFreeRandom,map50,0.386166,35.0,True,True
45,GTFreeDatasetBalancedConsistency,map5095,0.179207,,False,True
45,GTFreeDatasetBalancedVisualDiversity,map5095,0.179207,,False,True
45,GTFreeRandom,map5095,0.179207,35.0,True,True
46,GTFreeDatasetBalancedConsistency,map50,0.38943,,False,True
46,GTFreeDatasetBalancedVisualDiversity,map50,0.38943,,False,True
46,GTFreeRandom,map50,0.38943,35.0,True,True
46,GTFreeDatasetBalancedConsistency,map5095,0.175286,,False,True
46,GTFreeDatasetBalancedVisualDiversity,map5095,0.175286,,False,True
46,GTFreeRandom,map5095,0.175286,35.0,True,True
