treatment,baseline,acquisition_seed,round,labeled_budget,metric,difference
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,1,20,map50,0.06563699999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,1,20,map5095,0.020995
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,2,25,map50,-0.07734199999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,2,25,map5095,-0.039107999999999976
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,3,30,map50,0.02249699999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,3,30,map5095,0.013946000000000014
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,4,35,map50,0.017918000000000045
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,4,35,map5095,0.022854999999999986
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,1,20,map50,0.09810400000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,1,20,map5095,0.038203
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,2,25,map50,0.021187999999999985
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,2,25,map5095,0.0025129999999999875
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,3,30,map50,0.014187000000000005
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,3,30,map5095,0.015223999999999988
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,4,35,map50,0.006533000000000011
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,4,35,map5095,-0.008147999999999989
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,1,20,map50,-0.020562999999999998
