strategy,acquisition_seed,training_seed,round,epochs,patience,batch,workers,cache,plots,amp,train_eval_sec,total_sec,dataset_build_sec
__SHARED_ROUND0__,42,1042,0,100,100,8,4,ram,False,True,188.32744660000026,188.97343489999912,0.6459882999988622
GTFreeRandom,42,1042,1,100,100,8,4,ram,False,True,207.1862789999941,207.89856469999359,0.7122856999994838
GTFreeRandom,42,1042,2,100,100,8,4,ram,False,True,222.73822890000156,223.65994210000645,0.9217132000048878
GTFreeRandom,42,1042,3,100,100,8,4,ram,False,True,224.04667750000226,224.9678086999993,0.9211311999970349
GTFreeRandom,42,1042,4,100,100,8,4,ram,False,True,233.44171110000025,234.49937269999646,1.0576615999962087
GTFreeDatasetBalancedConsistency,42,1042,1,100,100,8,4,ram,False,True,208.11527800000476,208.99018470000738,0.8749067000026116
GTFreeDatasetBalancedConsistency,42,1042,2,100,100,8,4,ram,False,True,225.23248659999808,226.42656780000107,1.1940812000029837
GTFreeDatasetBalancedConsistency,42,1042,3,100,100,8,4,ram,False,True,224.03457499999786,225.04337469999882,1.0087997000009636
GTFreeDatasetBalancedConsistency,42,1042,4,100,100,8,4,ram,False,True,231.01331980000396,232.11084200000187,1.0975221999979112
GTFreeDatasetBalancedVisualDiversity,42,1042,1,100,100,8,4,ram,False,True,208.18822119999822,209.09399880000274,0.9057776000045124
GTFreeDatasetBalancedVisualDiversity,42,1042,2,100,100,8,4,ram,False,True,222.9297807999974,223.92149280000012,0.9917120000027353
GTFreeDatasetBalancedVisualDiversity,42,1042,3,100,100,8,4,ram,False,True,222.43477580000035,223.45114099999773,1.0163651999973808
GTFreeDatasetBalancedVisualDiversity,42,1042,4,100,100,8,4,ram,False,True,232.08979380000528,233.16872080000758,1.0789270000022952
__SHARED_ROUND0__,43,1043,0,100,100,8,4,ram,False,True,192.20181869999942,193.04786919999606,0.8460504999966361
GTFreeRandom,43,1043,1,100,100,8,4,ram,False,True,207.32741710000118,208.29115399999864,0.9637368999974569
GTFreeRandom,43,1043,2,100,100,8,4,ram,False,True,223.23907820000022,224.3245709000039,1.0854927000036696
GTFreeRandom,43,1043,3,100,100,8,4,ram,False,True,225.01246320000064,226.09606409999833,1.0836008999976912
GTFreeRandom,43,1043,4,100,100,8,4,ram,False,True,234.17323749999923,235.30474049999611,1.1315029999968829
GTFreeDatasetBalancedConsistency,43,1043,1,100,100,8,4,ram,False,True,208.47697509999853,209.3406307999976,0.8636556999990717
GTFreeDatasetBalancedConsistency,43,1043,2,100,100,8,4,ram,False,True,221.97843270000158,222.92185800000152,0.9434252999999444
GTFreeDatasetBalancedConsistency,43,1043,3,100,100,8,4,ram,False,True,225.50447839999833,226.46503049999592,0.9605520999975852
GTFreeDatasetBalancedConsistency,43,1043,4,100,100,8,4,ram,False,True,234.42927939999936,235.49759220000124,1.068312800001877
GTFreeDatasetBalancedVisualDiversity,43,1043,1,100,100,8,4,ram,False,True,208.24177410000266,209.06419260000257,0.8224184999999125
GTFreeDatasetBalancedVisualDiversity,43,1043,2,100,100,8,4,ram,False,True,222.79430149999826,223.69273759999487,0.8984360999966157
GTFreeDatasetBalancedVisualDiversity,43,1043,3,100,100,8,4,ram,False,True,223.71995730000344,224.75728140000865,1.0373241000052076
GTFreeDatasetBalancedVisualDiversity,43,1043,4,100,100,8,4,ram,False,True,232.6018133999969,233.66265839999687,1.060844999999972
__SHARED_ROUND0__,44,1044,0,100,100,8,4,ram,False,True,192.63963550000335,193.49839360000624,0.8587581000028877
GTFreeRandom,44,1044,1,100,100,8,4,ram,False,True,208.9913277999949,209.9385381999964,0.9472104000014951
GTFreeRandom,44,1044,2,100,100,8,4,ram,False,True,227.32549490000383,228.3038344000015,0.9783394999976736
GTFreeRandom,44,1044,3,100,100,8,4,ram,False,True,227.15982509999594,228.16851929999393,1.00869419999799
GTFreeRandom,44,1044,4,100,100,8,4,ram,False,True,234.92018510000344,235.99127650000446,1.0710914000010234
GTFreeDatasetBalancedConsistency,44,1044,1,100,100,8,4,ram,False,True,209.88009610000154,210.71333610000147,0.8332399999999325
GTFreeDatasetBalancedConsistency,44,1044,2,100,100,8,4,ram,False,True,223.05010610000318,223.9530190000005,0.9029128999973182
GTFreeDatasetBalancedConsistency,44,1044,3,100,100,8,4,ram,False,True,230.44814739999856,231.4513614000025,1.0032140000039362
GTFreeDatasetBalancedConsistency,44,1044,4,100,100,8,4,ram,False,True,235.25677200000064,236.28463439999905,1.027862399998412
GTFreeDatasetBalancedVisualDiversity,44,1044,1,100,100,8,4,ram,False,True,206.55771350000578,207.37973450000572,0.8220209999999497
GTFreeDatasetBalancedVisualDiversity,44,1044,2,100,100,8,4,ram,False,True,222.83588620000228,223.7192012000014,0.8833149999991292
GTFreeDatasetBalancedVisualDiversity,44,1044,3,100,100,8,4,ram,False,True,224.77702309999586,225.81067409999378,1.033650999997917
GTFreeDatasetBalancedVisualDiversity,44,1044,4,100,100,8,4,ram,False,True,232.6575698000015,233.71577819999948,1.058208399997966
__SHARED_ROUND0__,45,1045,0,100,100,8,4,ram,False,True,190.57700569999724,191.31815029999416,0.7411445999969146
GTFreeRandom,45,1045,1,100,100,8,4,ram,False,True,206.0212137999988,206.8487288999968,0.8275150999979815
GTFreeRandom,45,1045,2,100,100,8,4,ram,False,True,222.69507850000082,223.55267280000407,0.8575943000032566
GTFreeRandom,45,1045,3,100,100,8,4,ram,False,True,223.36500829999568,224.28860599999462,0.9235976999989362
GTFreeRandom,45,1045,4,100,100,8,4,ram,False,True,232.92657999999938,233.87983360000362,0.9532536000042455
GTFreeDatasetBalancedConsistency,45,1045,1,100,100,8,4,ram,False,True,208.68362879999768,209.50815539999894,0.8245266000012634
GTFreeDatasetBalancedConsistency,45,1045,2,100,100,8,4,ram,False,True,221.38923000000068,222.31991139999445,0.9306813999937731
GTFreeDatasetBalancedConsistency,45,1045,3,100,100,8,4,ram,False,True,224.53536480000184,225.4910125000024,0.9556477000005543
GTFreeDatasetBalancedConsistency,45,1045,4,100,100,8,4,ram,False,True,232.0085382000034,233.07149480000226,1.06295659999887
GTFreeDatasetBalancedVisualDiversity,45,1045,1,100,100,8,4,ram,False,True,216.81255139999848,217.66868219999742,0.8561307999989367
GTFreeDatasetBalancedVisualDiversity,45,1045,2,100,100,8,4,ram,False,True,223.7362501000025,225.91051490000245,2.1742647999999463
GTFreeDatasetBalancedVisualDiversity,45,1045,3,100,100,8,4,ram,False,True,223.5248156000016,224.5521202000018,1.0273046000002068
GTFreeDatasetBalancedVisualDiversity,45,1045,4,100,100,8,4,ram,False,True,233.00279359999695,234.0953892999969,1.092595699999947
__SHARED_ROUND0__,46,1046,0,100,100,8,4,ram,False,True,194.6747913999934,195.55610169999272,0.8813102999993134
GTFreeRandom,46,1046,1,100,100,8,4,ram,False,True,207.8882700999966,208.7912995999941,0.9030294999975013
GTFreeRandom,46,1046,2,100,100,8,4,ram,False,True,223.43634799999563,224.39526819999446,0.958920199998829
GTFreeRandom,46,1046,3,100,100,8,4,ram,False,True,225.1994593999989,226.21376500000042,1.014305600001535
GTFreeRandom,46,1046,4,100,100,8,4,ram,False,True,235.03500759999588,236.0877143999969,1.0527068000010331
GTFreeDatasetBalancedConsistency,46,1046,1,100,100,8,4,ram,False,True,208.07512629999837,208.9124542999998,0.8373280000014347
GTFreeDatasetBalancedConsistency,46,1046,2,100,100,8,4,ram,False,True,225.7425876999987,226.67979979999654,0.9372120999978506
GTFreeDatasetBalancedConsistency,46,1046,3,100,100,8,4,ram,False,True,224.7033636999986,225.7167005999945,1.0133368999959202
GTFreeDatasetBalancedConsistency,46,1046,4,100,100,8,4,ram,False,True,233.27844890000415,234.32811709999805,1.0496681999939028
GTFreeDatasetBalancedVisualDiversity,46,1046,1,100,100,8,4,ram,False,True,209.2779670000018,210.15671270000166,0.878745699999854
GTFreeDatasetBalancedVisualDiversity,46,1046,2,100,100,8,4,ram,False,True,223.1104755999986,224.01747109999997,0.9069955000013579
GTFreeDatasetBalancedVisualDiversity,46,1046,3,100,100,8,4,ram,False,True,224.92677079999703,225.88827950000268,0.9615087000056519
GTFreeDatasetBalancedVisualDiversity,46,1046,4,100,100,8,4,ram,False,True,232.45568040000217,233.5080864000047,1.0524060000025202
