acquisition_seed,training_seed,strategy,final_budget,final_map50,best_map50,best_round_map50,normalized_aulc_map50,final_map5095,best_map5095,best_round_map5095,normalized_aulc_map5095
42,1042,GTFreeDatasetBalancedConsistency,35,0.304568,0.348696,3,0.26201125000000003,0.13591,0.152585,3,0.10975675
42,1042,GTFreeDatasetBalancedVisualDiversity,35,0.355459,0.355459,4,0.297551625,0.16407,0.16407,4,0.126414
42,1042,GTFreeRandom,35,0.337541,0.385053,2,0.29261387499999997,0.141215,0.16942,2,0.12459887499999997
43,1043,GTFreeDatasetBalancedConsistency,35,0.331383,0.347554,3,0.30411574999999996,0.161841,0.16238,3,0.13913725
43,1043,GTFreeDatasetBalancedVisualDiversity,35,0.397667,0.397667,4,0.32983025,0.162473,0.173396,3,0.146013
43,1043,GTFreeRandom,35,0.391134,0.391134,4,0.295643875,0.170621,0.170621,4,0.1330465
44,1044,GTFreeDatasetBalancedConsistency,35,0.30037,0.30037,4,0.26059425,0.120342,0.129704,3,0.1077025
44,1044,GTFreeDatasetBalancedVisualDiversity,35,0.362451,0.362451,4,0.253616125,0.15005,0.15005,4,0.11181699999999999
44,1044,GTFreeRandom,35,0.384979,0.384979,4,0.271957125,0.178507,0.178507,4,0.118275125
45,1045,GTFreeDatasetBalancedConsistency,35,0.370931,0.370931,4,0.234207875,0.14921,0.14921,4,0.10239699999999999
45,1045,GTFreeDatasetBalancedVisualDiversity,35,0.355876,0.361023,3,0.24414375000000002,0.156977,0.156977,4,0.105425375
45,1045,GTFreeRandom,35,0.386166,0.386166,4,0.30169299999999993,0.179207,0.179207,4,0.138507875
46,1046,GTFreeDatasetBalancedConsistency,35,0.363439,0.370055,3,0.29786437499999996,0.169418,0.169418,4,0.128640125
46,1046,GTFreeDatasetBalancedVisualDiversity,35,0.377622,0.377622,4,0.2931425,0.174714,0.174714,4,0.12546537500000002
46,1046,GTFreeRandom,35,0.38943,0.38943,4,0.26481199999999994,0.175286,0.175286,4,0.11421462499999999
