acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405381400_00773.jpg,4a4b401c43dc80320554bdeb7644c970fdb9e5eb74f6ae9da2a4114b9287956c,1,0.23586678504943848,15
42,GTFreeDatasetBalancedConsistency,1,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,2,0.3556057810783386,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405376700_00809.jpg,5755975903f09526605d14f4dc24d84c40bc85b86d2649abbdd6f6db9ad54cf2,3,0.19670766592025757,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_06_3436642500_00002.jpg,5ff33e9f33908e878836d877c303ac462a40d7c83a35837ae493e136bd5d2392,4,0.21338796615600586,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405376700_00815.jpg,e9594c1ac2f08c1c06dea91c494efc69552aced1d213fa5145ff388d0ded06a9,5,0.3252371549606323,15
42,GTFreeDatasetBalancedConsistency,2,NEU-DET,rolled-in_scale_24.jpg,02f3b5570a576ced7184f753619c8bb543be7b96aa48c3711388f2c5ee0470de,1,0.09588074684143066,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_04_4402117000_00004.jpg,55a602b5491e7d096e7dc4666a19ca720c9b67100aade5b38b786e2a660da824,2,0.33615297079086304,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,3,0.2864111661911011,20
42,GTFreeDatasetBalancedConsistency,2,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,4,0.2875756025314331,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_06_4406783500_00003.jpg,f68cd9708e95fe8ae996c2014b32f1d8fac82b6bd74ecf6a1095ecfcced35a5d,5,0.34336161613464355,20
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,patches_22.jpg,39af694678f7c24b0c741ea09983c646bc24e7944d60286d34518fd19202e649,1,0.3968009352684021,25
42,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_06_430103100_01150.jpg,4222407b70c72e45c4027aaefa65fed585ede1e429125a9d5c244c56e5f80d7f,2,0.25585561990737915,25
42,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_01_4402116900_00003.jpg,4c1a85444ce91b60c8af5b22565a198b0bbc3cc981dc82c8ba25740ddf8baf36,3,0.17916518449783325,25
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,4,0.35135823488235474,25
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,scratches_225.jpg,a1c77ccb488348690c051d41fc11123adac3c2bfc433c7da409d8a1fe0f4c4fd,5,0.2915049195289612,25
42,GTFreeDatasetBalancedConsistency,4,NEU-DET,pitted_surface_214.jpg,032433ae2b7256a0e41bbc632dd525683a4b0191b571d3680b30dab524f5c7db,1,0.28016167879104614,30
