acquisition_seed,round,strategy_a,strategy_b,overlap_count,strategy_a_size,strategy_b_size,jaccard
42,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,15,15,15,1.0
42,0,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
42,0,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,15,15,1.0
42,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,15,15,1.0
42,0,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
42,0,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,15,15,1.0
42,0,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,15,15,1.0
42,0,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,15,15,1.0
42,0,GTFreeRandom,GTFreeRandom,15,15,15,1.0
42,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,20,20,20,1.0
42,1,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
42,1,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,20,20,0.6
42,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,15,20,20,0.6
42,1,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,20,20,20,1.0
42,1,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,15,20,20,0.6
42,1,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,20,20,0.6
42,1,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,15,20,20,0.6
42,1,GTFreeRandom,GTFreeRandom,20,20,20,1.0
42,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,25,25,25,1.0
42,2,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,17,25,25,0.5151515151515151
42,2,GTFreeDatasetBalancedConsistency,GTFreeRandom,15,25,25,0.42857142857142855
42,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,17,25,25,0.5151515151515151
42,2,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedVisualDiversity,25,25,25,1.0
42,2,GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,16,25,25,0.47058823529411764
42,2,GTFreeRandom,GTFreeDatasetBalancedConsistency,15,25,25,0.42857142857142855
42,2,GTFreeRandom,GTFreeDatasetBalancedVisualDiversity,16,25,25,0.47058823529411764
42,2,GTFreeRandom,GTFreeRandom,25,25,25,1.0
42,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedConsistency,30,30,30,1.0
42,3,GTFreeDatasetBalancedConsistency,GTFreeDatasetBalancedVisualDiversity,18,30,30,0.42857142857142855
42,3,GTFreeDatasetBalancedConsistency,GTFreeRandom,16,30,30,0.36363636363636365
42,3,GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,18,30,30,0.42857142857142855
